locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
1723882,Brazuca Grill,Truck,1500000,26TH ST: MINNESOTA ST to INDIANA ST (1000 - 1099),1051 26TH ST,4317015,4317,15,23MFF-00007,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015309.355,2101533.012,37.75126940587810,-122.38989436694400,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00007&ExportPDF=1&Filename=23MFF-00007_schedule.pdf,,,03/01/2024 12:00:00 AM,20230911,1,11/15/2024 12:00:00 AM,"(37.75126940587811, -122.38989436694435)",10,3,8,28856,1
1527317,"BOWL'D ACAI, LLC.",Truck,9698000,NORTH POINT ST: LAGUNA ST to BUCHANAN ST (1500 - 1599),15 MARINA BLVD,446002,446,2,21MFF-00009,REQUESTED,Acai Bowls: Poke Bowls: Smoothies: Juices,6003247.31181,2121194.21345,37.80457786909010,-122.43301077434300,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00009&ExportPDF=1&Filename=21MFF-00009_schedule.pdf,,,,20210311,0,11/15/2021 12:00:00 AM,"(37.80457786909011, -122.43301077434302)",13,9,1,57,17
773095,Athena SF Gyro,Push Cart,30747000,MARKET ST: 11TH ST intersection,10 SOUTH VAN NESS AVE,3506004,3506,4,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6006927.466,2110076.439,37.77425926306000,-122.41948598839800,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0145&ExportPDF=1&Filename=15MFF-0145_schedule.pdf,We/Th/Fr:6AM-6PM,,,20150901,0,,"(37.77425926306004, -122.41948598839828)",8,2,9,28853,19
1332944,Mini Mobile Food Catering,Truck,6710000,HARRISON ST: BEALE ST to FREMONT ST \ I-80 W OFF RAMP (300 - 399),355 FREMONT ST,3747 320,3747,320,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6014901.46219,2114671.59044,37.78732241931990,-122.39222370638300,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00041&ExportPDF=1&Filename=19MFF-00041_schedule.pdf,,,06/26/2019 12:00:00 AM,20190626,1,01/15/2021 12:00:00 AM,"(37.78732241931987, -122.39222370638346)",6,2,9,28855,6
1800205,Onis M Flores Dewolanski,Push Cart,9125000,MISSION ST: 23RD ST to 24TH ST (2700 - 2799),2786 MISSION ST,3643010,3643,10,24MFF-00012,REQUESTED,MFF - Do not approve without review.,6006957.972,2102177.316,37.75257183593840,-122.41882013507700,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=24MFF-00012&ExportPDF=1&Filename=24MFF-00012_schedule.pdf,,,,20240724,0,11/15/2025 12:00:00 AM,"(37.75257183593844, -122.41882013507697)",2,4,7,28859,19
1591811,Flavors of Africa,Truck,9090000,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),555 MISSION ST,3721120,3721,120,22MFF-00017,SUSPEND,Meat and vegi rice bowls: meat and vegi salad bowls: meat and vegi wraps: drinks and juices.,6013055.64573,2115118.24153,37.78844615690130,-122.3986412420390,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00017&ExportPDF=1&Filename=22MFF-00017_schedule.pdf,,,,20220126,0,11/15/2022 12:00:00 AM,"(37.78844615690132, -122.3986412420388)",12,2,9,28855,6
1723876,Brazuca Grill,Truck,11833000,SHOTWELL ST: 15TH ST to 16TH ST (100 - 199),131 SHOTWELL ST,5501 003,5501,3,23MFF-00007,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6007971.764,2100466.349,37.74793093611290,-122.41519315390900,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00007&ExportPDF=1&Filename=23MFF-00007_schedule.pdf,,,03/01/2024 12:00:00 AM,20230911,1,11/15/2024 12:00:00 AM,"(37.74793093611294, -122.41519315390947)",2,7,7,28859,2
1591827,Cochinita,Truck,3285000,BRYANT ST: 04TH ST \ I-80 E OFF RAMP to 05TH ST \ I-80 E ON RAMP (600 - 699),617 BRYANT ST,3777055,3777,55,22MFF-00021,EXPIRED,Mexican Food: Yucatan Food: Street Food,6013083.726,2111696.027,37.779051111573100,-122.39830388133400,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00021&ExportPDF=1&Filename=22MFF-00021_schedule.pdf,,,03/22/2022 12:00:00 AM,20220126,1,11/15/2022 12:00:00 AM,"(37.779051111573146, -122.39830388133372)",6,2,9,28856,34
1723878,Brazuca Grill,Truck,12482000,TENNESSEE ST: MARIPOSA ST to 18TH ST (600 - 699),640 TENNESSEE ST,3996012,3996,12,23MFF-00007,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015341.121,2106001.428,37.76354048392960,-122.39009664366300,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00007&ExportPDF=1&Filename=23MFF-00007_schedule.pdf,,,03/01/2024 12:00:00 AM,20230911,1,11/15/2024 12:00:00 AM,"(37.76354048392964, -122.39009664366294)",14,3,8,28856,29
1723889,Brazuca Grill,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3255 03RD ST,4377001,4377,1,23MFF-00007,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6016160.221,2100487.333,37.748445338837700,-122.38687903198000,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00007&ExportPDF=1&Filename=23MFF-00007_schedule.pdf,,,03/01/2024 12:00:00 AM,20230911,1,11/15/2024 12:00:00 AM,"(37.748445338837655, -122.38687903197963)",10,3,8,58,1
